name,position,nba_team,status,ownership
AJ Green,"PG,SG,G,Util",-,,2%
Scotty Pippen Jr.,"PG,SG,G,Util,IL,IL+",-,INJ,6%
Ron Harper Jr.,"SF,F,Util",-,,0
Johnny Juzang,"SG,G,SF,F,Util",-,,0
Simone Fontecchio,"SF,PF,F,Util",-,,0
Kevon Harris,"SG,G,Util",-,,0
Pat Spencer,"PG,SG,G,Util",-,,0
Quenton Jackson,"PG,SG,G,Util,IL,IL+",-,INJ,0
Tyson Etienne,"PG,G,Util",-,,0
Daeqwon Plowden,"SF,PF,F,Util",-,,0
Dominick Barlow,"PF,F,C,Util",-,,1%
Jamal Cain,"SG,G,SF,F,Util",-,,0
Orlando Robinson,"C,Util",-,,0
Scoot Henderson,"PG,G,Util,IL,IL+",-,INJ,17%
Leonard Miller,"PF,F,Util",-,,0
Sidy Cissoko,"SF,PF,F,Util",-,,0
Keaton Wallace,"PG,SG,G,Util",-,,0
Rayan Rupert,"PG,SG,G,Util",-,,0
Hunter Tyson,"SF,PF,F,Util",-,,0
Mouhamed Gueye,"PF,F,C,Util",-,,0
GG Jackson,"SF,PF,F,Util",-,,1%
Jalen Pickett,"PG,SG,G,Util",-,,0
Jordan Walsh,"SG,G,SF,F,Util",-,,0
Jalen Wilson,"SF,PF,F,Util",-,,0
Tristan Vukcevic,"PF,F,C,Util",-,,0
Trayce Jackson-Davis,"C,Util",-,,1%
Andre Jackson Jr.,"SG,G,SF,F,Util",-,,0
Julian Phillips,"SF,PF,F,Util",-,,0
Jordan Miller,"SF,F,Util,IL,IL+",-,INJ,0
Jaylen Clark,"SG,G,SF,F,Util",-,,0
Colby Jones,"SG,G,SF,F,Util",-,,0
Jaime Jaquez Jr.,"SG,G,SF,F,Util",-,,7%
Anthony Black,"PG,SG,G,Util",-,,4%
Jordan Hawkins,"SG,G,SF,F,Util",-,,1%
Bilal Coulibaly,"SG,G,SF,F,Util,IL,IL+",-,INJ,14%
Keyonte George,"PG,SG,G,Util",-,,43%
Gradey Dick,"SG,G,SF,F,Util",-,,11%
Jarace Walker,"SF,PF,F,Util",-,,2%
Jett Howard,"SF,F,Util",-,,0
Cason Wallace,"PG,SG,G,Util,IL+",-,GTD,36%
Taylor Hendricks,"SF,PF,F,Util",-,,8%
Julian Strawther,"SG,G,SF,F,Util",-,,0
Ben Sheppard,"SG,G,SF,F,Util",-,,0
Marcus Sasser,"PG,G,Util,IL+",-,O,0
Olivier-Maxence Prosper,"PF,F,C,Util",-,,0
Kobe Brown,"PF,F,C,Util",-,,0
